SCORE,DAMAGE,COOLDOWN,DISPERSION,RANGE
100,33.159,-3.42,-26.732,-18.991
51,105.363,-5.251,-23.416,-0.284
100,35.502,-3.394,-26.745,-16.736
81,32.243,-3.817,-39.206,10.247
62,101.558,-3.303,-40.51,-13.134
67,36.844,-2.895,-36.857,4.419
100,39.439,-5.189,-48.16,-5.891
71,84.415,-7.76,-17.583,5.598
99,56.692,-9.389,-27.954,-1.684
100,24.408,-9.792,-44.567,6.115
99,78.271,-6.451,-23.486,-19.55
100,29.015,-0.589,-45.171,-14.595
65,56.33,-6.464,-25.089,17.825
65,39.433,-4.536,-40.852,17.463
61,44.621,-5.846,-37.505,19.003
21,115.701,-0.547,-27.843,0.981
48,117.681,-2.835,-34.037,11.694
100,41.721,-5.607,-17.975,-16.889
40,107.386,-3.485,-28.55,8.213
21,102.0639,-0.360992,-27.76006,0.5009835
15,98.322,0.416,-42.626,-7.674
38,88.16152,3.37554,-22.38162,3.60804
15,106.807,0.776,-32.551,-11.333
